投诉编号,投诉品牌,品牌车系,投诉车型,问题描述,典型问题,投诉时间,投诉状态
487772,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,上汽名爵6变速箱漏油异响希望厂家解决,变速器异响变速器漏油,2020-06-24,信息审核
487770,福田汽车,奥铃,2007款 BJ1049V8JEA-B,福田奥铃捷运服务站服务态度差不解决问题,服务态度不解决问题服务收费变相收费,2020-06-24,信息审核
487768,奇瑞汽车,捷途X70S,2019款 X70S 1.5T 手动 征途版 国V,捷途X70S配件质量差导致故障问题多,配件争议配件质量差,2020-06-24,信息审核
487767,广汽乘用车,传祺GS5,2019款 270T 自动 精英版,广汽传祺GS5换挡顿挫 前轮刹车异响,变速器顿挫制动系统异响,2020-06-24,信息审核
487766,一汽-大众奥迪,奥迪Q3,2016款 35 TFSI 风尚型,一汽大众奥迪Q3出现请勿超过发动机最高转速,发动机故障灯亮,2020-06-24,信息审核
487762,吉利汽车,星越,2019款 350T 驭星者,吉利星越4S店销售库存车 服务承诺不兑现	,车身附件及电器车身异响承诺不兑现服务承诺不兑现销售欺诈出售库存车,2020-06-24,信息审核
487761,上汽大众,朗逸,2013款 1.4TSI DSG舒适版,上汽大众朗逸变速箱机电单元损坏4S店不保修,变速器故障灯亮变速器电脑板故障服务态度不予索赔,2020-06-24,信息审核
487759,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领潮版,奇瑞艾瑞泽5发动机渗油售后不予质保,发动机漏油,2020-06-24,信息审核
487758,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越变速箱顿挫 拖挡导致共振严重,变速器顿挫变速器拖挡,2020-06-24,信息审核
487757,新特汽车,SITECH DEV 1,2018款 创睿版,新特SITECH DEV 1配件质量差频繁故障,车身附件及电器影音系统故障车身附件及电器空调问题,2020-06-24,信息审核
487752,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际购车旅游基金不兑现厂家拖延不处理,服务态度不解决问题承诺不兑现销售承诺不兑现,2020-06-24,信息审核
487747,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越没有挡位灯和前雾灯与宣传不符,销售欺诈与宣传不符,2020-06-24,信息审核
487746,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动行驶跑偏 发动机抖动,发动机抖动前后桥及悬挂系统跑偏,2020-06-24,信息审核
487741,吉利汽车,帝豪,2017款 1.5L CVT 向上版 三厢 百万款,吉利帝豪刹车疲软 存在安全隐患,制动系统刹车偏软,2020-06-24,信息审核
487740,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,上汽名爵6踩刹车异响4S店多次维修不保修,制动系统异响服务态度不解决问题服务态度不予索赔人员技术多次返修,2020-06-24,厂家受理
487739,上汽集团,名爵ZS,2019款 1.5L 手动 65寸巨幕天窗全球版 国VI,上汽名爵ZS发动机高温熄火厂家不回复,发动机冷却系统故障服务态度不解决问题服务态度厂家不回复,2020-06-24,厂家受理
487736,吉利汽车,帝豪,2019款 领军版 1.5L 手动 豪华型 国VI,吉利帝豪发动机脚垫前摆臂横梁有维修痕迹,销售欺诈出售库存车,2020-06-24,信息审核
487734,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国VI,广汽丰田汉兰达扶手箱滑轨断裂4S店不保修,车身附件及电器部件开裂服务态度不予索赔配件争议配件质量差,2020-06-24,信息审核
487727,东风标致,标致4008,2017款 350THP 精英版,东风标致4008服务站未将保养记录上传,人员技术操作不规范,2020-06-24,信息审核
487724,吉利汽车,帝豪,2014款 1.5L 手动 时尚型 三厢,吉利帝豪变速箱打齿无法正常挂挡,变速器无法换挡变速器机械部件故障,2020-06-24,信息审核
487720,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳喇叭声音发闷影响使用,车身附件及电器喇叭故障,2020-06-24,信息审核
487718,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放尾灯自然开裂质量差,车身附件及电器灯罩裂纹或变形服务态度不解决问题,2020-06-24,信息审核
